account_name,csm,segment,arr,health_score,days_to_renewal
Account-001,Dana K.,Mid-Market,126682,41.8,44
Account-002,Marco P.,SMB,18558,24.4,21
Account-003,Tomer L.,Enterprise,344660,83.4,64
Account-004,Marco P.,SMB,21287,45.3,136
Account-005,Tomer L.,Mid-Market,39938,57.6,126
Account-006,Tomer L.,Mid-Market,77491,49.6,77
Account-007,Tomer L.,Mid-Market,92114,41.5,228
Account-008,Priya S.,Mid-Market,33999,57.6,70
Account-009,Tomer L.,Enterprise,240967,83.1,59
Account-010,Tomer L.,Enterprise,358393,14.9,200
Account-011,Marco P.,Mid-Market,103096,74.6,179
Account-012,Priya S.,Mid-Market,69877,23.4,211
Account-013,Dana K.,Enterprise,265321,66.2,49
Account-014,Priya S.,Mid-Market,114772,57.5,146
Account-015,Tomer L.,SMB,25108,27.1,90
Account-016,Marco P.,Mid-Market,70200,70.9,102
Account-017,Marco P.,SMB,16171,37.4,213
Account-018,Tomer L.,Enterprise,250710,53.9,19
Account-019,Marco P.,Mid-Market,79000,27.5,112
Account-020,Dana K.,Enterprise,118638,77.0,240
Account-021,Priya S.,Enterprise,426197,61.7,128
Account-022,Tomer L.,Enterprise,193418,46.8,199
Account-023,Priya S.,Enterprise,410444,22.5,192
Account-024,Priya S.,Mid-Market,56436,65.9,79
Account-025,Dana K.,SMB,13122,55.4,220
Account-026,Tomer L.,Mid-Market,122738,50.2,41
Account-027,Marco P.,SMB,18565,61.8,11
Account-028,Tomer L.,SMB,32824,14.7,146
Account-029,Dana K.,Enterprise,460613,80.0,175
Account-030,Priya S.,Enterprise,390312,48.2,-3
Account-031,Dana K.,SMB,14971,51.9,23
Account-032,Tomer L.,Enterprise,242315,48.3,-6
Account-033,Dana K.,SMB,23018,21.0,113
Account-034,Tomer L.,Enterprise,131252,71.9,6
Account-035,Tomer L.,Mid-Market,92478,41.0,126
Account-036,Tomer L.,Enterprise,462121,60.2,205
Account-037,Priya S.,SMB,18124,36.5,44
Account-038,Marco P.,SMB,30374,23.0,216
Account-039,Tomer L.,Mid-Market,52398,55.6,76
Account-040,Dana K.,SMB,16594,31.9,170
